instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
66,03/01/2011,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157
67,03/01/2011,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157
68,03/01/2011,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110
69,03/01/2011,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52
70,03/01/2011,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52
71,03/01/2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20
72,03/01/2011,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12
73,04/01/2011,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5
74,04/01/2011,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2
75,04/01/2011,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1
76,04/01/2011,1,0,1,3,0,2,1,0,0,0,0,0,0,0,0
77,04/01/2011,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2
78,04/01/2011,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4
79,04/01/2011,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36
80,04/01/2011,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94
81,04/01/2011,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179
82,04/01/2011,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100
83,04/01/2011,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42
84,04/01/2011,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57
85,04/01/2011,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78
86,04/01/2011,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97
87,04/01/2011,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63
88,04/01/2011,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65
89,04/01/2011,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83
90,04/01/2011,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212
91,04/01/2011,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182
92,04/01/2011,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112
93,04/01/2011,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54
94,04/01/2011,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48
95,04/01/2011,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35
96,04/01/2011,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11
97,05/01/2011,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6
98,05/01/2011,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6
99,05/01/2011,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2
100,05/01/2011,1,0,1,3,0,3,1,0,0,0,0,0,0,0,0
101,05/01/2011,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2
102,05/01/2011,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3
103,05/01/2011,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33
104,05/01/2011,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88
105,05/01/2011,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195
106,05/01/2011,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115
107,05/01/2011,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57
108,05/01/2011,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46
109,05/01/2011,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79
110,05/01/2011,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71
111,05/01/2011,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62
112,05/01/2011,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62
113,05/01/2011,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89
114,05/01/2011,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190
115,05/01/2011,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169
116,05/01/2011,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132
117,05/01/2011,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89
118,05/01/2011,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43
119,05/01/2011,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42
120,05/01/2011,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19
121,06/01/2011,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11
122,06/01/2011,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4
123,06/01/2011,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2
124,06/01/2011,1,0,1,3,0,4,1,0,0,0,0,0,0,0,0
125,06/01/2011,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1
126,06/01/2011,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4
127,06/01/2011,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36
128,06/01/2011,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95
129,06/01/2011,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219
130,06/01/2011,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122
131,06/01/2011,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45
132,06/01/2011,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59
133,06/01/2011,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84
134,06/01/2011,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67
135,06/01/2011,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70
136,06/01/2011,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62
137,06/01/2011,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86
138,06/01/2011,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172
139,06/01/2011,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163
140,06/01/2011,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112
141,06/01/2011,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69
142,06/01/2011,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48
143,06/01/2011,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52
144,06/01/2011,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23
145,07/01/2011,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17
146,07/01/2011,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7
147,07/01/2011,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1
148,07/01/2011,1,0,1,3,0,5,1,0,0,0,0,0,0,0,0
149,07/01/2011,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1
150,07/01/2011,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5
151,07/01/2011,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34
152,07/01/2011,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84
153,07/01/2011,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210
154,07/01/2011,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134
155,07/01/2011,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63
156,07/01/2011,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67
157,07/01/2011,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59
158,07/01/2011,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73
159,07/01/2011,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50
160,07/01/2011,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72
161,07/01/2011,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87
162,07/01/2011,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187
163,07/01/2011,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123
164,07/01/2011,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95
165,07/01/2011,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51
166,07/01/2011,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39
167,07/01/2011,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36
168,07/01/2011,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15
169,08/01/2011,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25
170,08/01/2011,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16
171,08/01/2011,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,3,13,16
172,08/01/2011,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7
173,08/01/2011,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1
174,08/01/2011,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5
175,08/01/2011,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2
176,08/01/2011,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9
177,08/01/2011,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15
178,08/01/2011,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20
179,08/01/2011,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61
180,08/01/2011,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62
181,08/01/2011,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98
182,08/01/2011,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102
183,08/01/2011,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95
184,08/01/2011,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74
185,08/01/2011,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76
186,08/01/2011,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69
187,08/01/2011,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55
188,08/01/2011,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30
189,08/01/2011,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28
190,08/01/2011,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37
191,08/01/2011,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34
192,08/01/2011,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22
193,09/01/2011,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25
194,09/01/2011,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12
195,09/01/2011,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11
196,09/01/2011,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4
197,09/01/2011,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1
198,09/01/2011,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1
199,09/01/2011,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1
200,09/01/2011,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6
201,09/01/2011,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10
202,09/01/2011,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19
203,09/01/2011,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49
204,09/01/2011,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49
205,09/01/2011,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83
206,09/01/2011,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75
207,09/01/2011,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72
208,09/01/2011,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82
209,09/01/2011,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92
210,09/01/2011,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62
211,09/01/2011,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48
212,09/01/2011,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41
213,09/01/2011,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38
214,09/01/2011,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20
215,09/01/2011,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15
216,09/01/2011,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6
217,10/01/2011,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5
218,10/01/2011,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1
219,10/01/2011,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3
220,10/01/2011,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1
221,10/01/2011,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3
222,10/01/2011,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3
223,10/01/2011,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31
224,10/01/2011,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77
225,10/01/2011,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188
226,10/01/2011,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94
227,10/01/2011,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31
228,10/01/2011,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30
229,10/01/2011,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52
230,10/01/2011,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54
231,10/01/2011,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47
232,10/01/2011,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45
233,10/01/2011,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74
234,10/01/2011,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178
235,10/01/2011,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155
236,10/01/2011,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95
237,10/01/2011,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74
238,10/01/2011,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38
239,10/01/2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24
240,10/01/2011,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18
241,11/01/2011,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12
242,11/01/2011,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3
243,11/01/2011,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3
244,11/01/2011,1,0,1,3,0,2,1,0,0,0,0,0,0,0,0
245,11/01/2011,1,0,1,4,0,2,1,0,0,0,0,0,0,0,0
246,11/01/2011,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6
247,11/01/2011,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27
248,11/01/2011,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0,2,97,99
249,11/01/2011,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217
250,11/01/2011,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130
251,11/01/2011,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54
252,11/01/2011,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35
253,11/01/2011,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57
254,11/01/2011,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52
255,11/01/2011,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63
256,11/01/2011,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47
257,11/01/2011,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76
258,11/01/2011,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136
259,11/01/2011,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95
260,11/01/2011,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0,0,51,51
261,11/01/2011,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32
262,11/01/2011,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20
263,11/01/2011,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29
264,11/01/2011,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19
265,12/01/2011,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7
266,12/01/2011,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6
267,12/01/2011,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1
268,12/01/2011,1,0,1,3,0,3,1,0,0,0,0,0,0,0,0
269,12/01/2011,1,0,1,4,0,3,1,0,0,0,0,0,0,0,0
270,12/01/2011,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5
271,12/01/2011,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16
272,12/01/2011,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54
273,12/01/2011,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128
274,12/01/2011,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81
275,12/01/2011,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39
276,12/01/2011,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35
277,12/01/2011,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55
278,12/01/2011,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49
279,12/01/2011,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44
280,12/01/2011,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49
281,12/01/2011,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63,68
282,12/01/2011,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139
283,12/01/2011,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137
284,12/01/2011,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82,83
285,12/01/2011,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56
286,12/01/2011,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57,57
287,12/01/2011,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,32,33
288,12/01/2011,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,1,19,20
